DN|0.50|1.00|1.50|2.00
100|1.80|2.50|3.10|3.50
125|2.80|4.10|5.00|5.70
150|5.40|7.70|9.40|10.90
200|10.00|14.20|17.40|20.10
225|15.90|22.50|27.60|31.90
250|18.90|26.90|32.90|38.10
