DN|0.50|1.00|1.50|2.00
100|2.90|4.20|5.10|5.90
125|4.80|6.80|8.30|9.60
150|9.00|12.80|15.70|18.20
200|16.70|23.70|29.10|33.60
225|26.50|37.60|46.20|53.30
250|31.60|44.90|55.00|63.30
