Regendauer	HN_001A	HN_002A	HN_003A	HN_005A	HN_010A	HN_020A	HN_030A	HN_050A	HN_100A
0005	156,67	213,33	246,67	286,67	343,33	396,67	430,0	473,33	526,67
0010	125,0	161,67	183,33	210,0	246,67	283,33	305,0	333,33	370,0
0015	103,33	132,22	148,89	170,0	200,0	228,89	245,56	266,67	295,56
0020	88,33	112,5	126,67	145,0	169,17	193,33	207,5	225,83	250,0
0030	68,33	87,22	98,33	112,78	131,67	151,11	162,22	176,11	195,56
0045	50,74	65,93	74,81	85,93	100,74	115,93	124,81	135,56	150,74
0060	40,56	53,33	60,56	70,0	82,5	95,28	102,78	111,94	124,72
0090	29,63	38,52	43,7	50,19	59,07	67,96	73,15	79,81	88,7
0120	23,75	30,69	34,72	39,72	46,67	53,61	57,64	62,78	69,58
0180	17,31	22,22	25,0	28,61	33,43	38,24	41,11	44,72	49,54
0240	13,89	17,64	19,86	22,64	26,39	30,14	32,36	35,14	38,89
0360	10,19	12,82	14,35	16,3	18,94	21,57	23,1	25,05	27,69
0540	7,44	9,29	10,37	11,73	13,58	15,43	16,51	17,87	19,72
0720	5,95	7,38	8,24	9,28	10,72	12,18	13,01	14,07	15,51
1080	4,35	5,35	5,94	6,7	7,7	8,7	9,31	10,05	11,05
1440	3,48	4,27	4,72	5,3	6,09	6,88	7,33	7,91	8,69
2880	2,21	2,68	2,95	3,29	3,75	4,22	4,48	4,83	5,29
4320	1,7	2,03	2,23	2,48	2,82	3,15	3,35	3,6	3,94
