Regendauer	HN_001A	HN_002A	HN_003A	HN_005A	HN_010A	HN_020A	HN_030A	HN_050A	HN_100A
0005	160,0	216,67	246,67	290,0	346,67	403,33	436,67	476,67	533,33
0010	126,67	165,0	188,33	216,67	255,0	295,0	316,67	345,0	385,0
0015	105,56	136,67	154,44	177,78	208,89	240,0	257,78	281,11	312,22
0020	90,83	116,67	132,5	152,5	179,17	205,0	220,83	240,83	267,5
0030	70,56	91,67	103,89	120,0	141,11	162,22	175,0	190,56	211,67
0045	52,59	70,0	80,0	92,59	109,63	126,67	136,67	149,26	166,3
0060	42,22	56,94	65,28	76,11	90,56	105,28	113,89	124,44	139,17
0090	30,74	40,74	46,67	54,07	64,26	74,44	80,37	87,78	97,96
0120	24,44	32,22	36,81	42,5	50,42	58,19	62,78	68,47	76,39
0180	17,78	23,15	26,3	30,28	35,74	41,2	44,35	48,33	53,7
0240	14,17	18,33	20,76	23,82	28,06	32,22	34,65	37,71	41,94
0360	10,28	13,15	14,86	16,99	19,91	22,82	24,49	26,62	29,54
0540	7,47	9,48	10,65	12,13	14,14	16,14	17,31	18,8	20,83
0720	5,95	7,5	8,4	9,54	11,09	12,64	13,56	14,7	16,25
1080	4,32	5,39	6,02	6,82	7,89	8,97	9,6	10,39	11,47
1440	3,44	4,27	4,76	5,37	6,2	7,03	7,51	8,12	8,96
2880	2,04	2,52	2,8	3,15	3,64	4,12	4,4	4,76	5,24
4320	1,5	1,84	2,05	2,31	2,65	3,0	3,21	3,46	3,81
